CD_SETOR,AREA_KM2,NM_MUN,geometry,area,censitario,trabalhados,nao_trabalhados,im_aegypti,im_albopictus,focal,perifocal,nebulizacao,mecanico,alternativo,tratamento_imoveis,nao_trabalhados_ratio,incidencia_aedes
354980505000019,0.111133,São José do Rio Preto,"POLYGON ((-49.377207179 -20.8153989049999, -49.3775225059999 -20.8156936509999, -49.378200781 -20.816352847, -49.379573678 -20.817637587, -49.379710232 -20.817514419, -49.380386541 -20.8181552249999, -49.379849193 -20.81866051, -49.3804388309999 -20.819186053, -49.3805897569999 -20.819329346, -49.381288534 -20.8186895229999, -49.381545235 -20.818420789, -49.381763893 -20.818191882, -49.3818589639999 -20.81810746, -49.3819730499999 -20.81799638, -49.381441837 -20.8171466069999, -49.380895175 -20.8163890279999, -49.3802130349999 -20.8157558579999, -49.37954278 -20.8150960249999, -49.37873467 -20.8145294999999, -49.3779622129999 -20.8139585289999, -49.37783862 -20.814087386, -49.377954324 -20.814166013, -49.377703934 -20.8146045029999, -49.377207179 -20.8153989049999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000020,0.127691,São José do Rio Preto,"POLYGON ((-49.37646008 -20.817288791, -49.3761652699999 -20.8182579639999, -49.376363591 -20.8180724539999, -49.377047148 -20.8186995209999, -49.37778846 -20.8193129159999, -49.378470846 -20.819923623, -49.3788849589999 -20.8203219499999, -49.3792064639999 -20.8206311989999, -49.379499734 -20.820345892, -49.3796723149999 -20.8201779959999, -49.3799060859999 -20.8199658529999, -49.3801619339999 -20.8197336769999, -49.3805897569999 -20.819329346, -49.3804388309999 -20.819186053, -49.379849193 -20.81866051, -49.380386541 -20.8181552249999, -49.379710232 -20.817514419, -49.379573678 -20.817637587, -49.378200781 -20.816352847, -49.3775225059999 -20.8156936509999, -49.377207179 -20.8153989049999, -49.376780087 -20.8162935079999, -49.376723904 -20.8164534549999, -49.37646008 -20.817288791))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000022,0.085915,São José do Rio Preto,"POLYGON ((-49.3819730499999 -20.81799638, -49.38215131 -20.81821632, -49.382486437 -20.8188072689999, -49.3829386529999 -20.819581087, -49.383417639 -20.82046575, -49.3836177909999 -20.820286853, -49.384302307 -20.819624819, -49.38499633 -20.818962781, -49.385699861 -20.8183185139999, -49.3849796929999 -20.817692017, -49.384340336 -20.8170655169999, -49.383660573 -20.816410133, -49.3829665499999 -20.817063295, -49.38228243 -20.817712382, -49.3819730499999 -20.81799638))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000023,0.084309,São José do Rio Preto,"POLYGON ((-49.384867984 -20.815259317, -49.3843260749999 -20.815783628, -49.383660573 -20.816410133, -49.384340336 -20.8170655169999, -49.3849796929999 -20.817692017, -49.38567847 -20.81705663, -49.386366111 -20.8177037089999, -49.386917905 -20.817182095, -49.3876179329999 -20.817836422, -49.3882976949999 -20.817201037, -49.38757285 -20.8165323229999, -49.38754225 -20.8165039099999, -49.386900141 -20.8159013759999, -49.386251277 -20.815301528, -49.385547746 -20.81461059, -49.384867984 -20.815259317))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000024,0.020648,São José do Rio Preto,"POLYGON ((-49.385547746 -20.81461059, -49.386251277 -20.815301528, -49.386900141 -20.8159013759999, -49.3875703969999 -20.8152171049999, -49.3867785429999 -20.814461098, -49.3862370159999 -20.813944087, -49.385547746 -20.81461059))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000026,0.019968,São José do Rio Preto,"POLYGON ((-49.3875703969999 -20.8152171049999, -49.386900141 -20.8159013759999, -49.38754225 -20.8165039099999, -49.38757285 -20.8165323229999, -49.3881759999999 -20.815877999, -49.388934676 -20.8151615639999, -49.388283434 -20.814563935, -49.3875703969999 -20.8152171049999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000027,0.023078,São José do Rio Preto,"POLYGON ((-49.38757285 -20.8165323229999, -49.3882976949999 -20.817201037, -49.3890012259999 -20.816534545, -49.3897190169999 -20.815925814, -49.388934676 -20.8151615639999, -49.3881759999999 -20.815877999, -49.38757285 -20.8165323229999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000028,0.04066,São José do Rio Preto,"POLYGON ((-49.3882976949999 -20.817201037, -49.38902024 -20.817858639, -49.389673858 -20.818496243, -49.3903949639999 -20.8177883029999, -49.390429678 -20.817754222, -49.391042891 -20.8171765989999, -49.3905889229999 -20.816747823, -49.3897190169999 -20.815925814, -49.3890012259999 -20.816534545, -49.3882976949999 -20.817201037))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000029,0.062962,São José do Rio Preto,"POLYGON ((-49.3869167789999 -20.813304242, -49.387480169 -20.8138238729999, -49.388283434 -20.814563935, -49.388934676 -20.8151615639999, -49.3897190169999 -20.815925814, -49.3905889229999 -20.816747823, -49.391185498 -20.8161679739999, -49.390277563 -20.815301528, -49.389532501 -20.814607431, -49.3888396039999 -20.814012959, -49.389634201 -20.813270217, -49.3888586099999 -20.812882615, -49.388748054 -20.8128530669999, -49.388263255 -20.812723993, -49.387803951 -20.812450645, -49.3874586869999 -20.812797695, -49.3869167789999 -20.813304242))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000030,0.04186,São José do Rio Preto,"POLYGON ((-49.391185498 -20.8161679739999, -49.3918090939999 -20.8156070639999, -49.392132104 -20.8153083239999, -49.391827232 -20.8150949139999, -49.39112577 -20.814531248, -49.3910991549999 -20.8145093379999, -49.3903328549999 -20.81387849, -49.389634201 -20.813270217, -49.3888396039999 -20.814012959, -49.389532501 -20.814607431, -49.390277563 -20.815301528, -49.391185498 -20.8161679739999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
