lat,lng,trab,nao_trab,total,tipo,focal,peri,nebul,mecanico,alternativo,agente,ordem,casa,im_aegypti,im_albopictus
-23.71111,-46.52527,1,0,1.0,1,,,,,,,,,,
-23.71106,-46.52495,1,0,1.0,1,,,,,,,,,,
-23.71107,-46.52562,1,0,1.0,1,,,,,,,,,,
-23.71108,-46.52562,1,0,1.0,1,,,,,,,,,,
-23.71135,-46.52567,1,0,1.0,1,,,,,,,,,,
-23.71122,-46.52569,1,0,1.0,1,,,,,,,,,,
-23.71121,-46.5257,1,0,1.0,1,,,,,,,,,,
-23.7113,-46.52566,1,0,1.0,1,,,,,,,,,,
-23.71137,-46.52564,1,0,1.0,1,,,,,,,,,,
-23.71154,-46.52548,1,0,1.0,1,,,,,,,,,,
-23.71165,-46.52543,3,0,3.0,1,,,,,,,,,,
-23.71177,-46.52544,1,0,1.0,1,,,,,,,,,,
-23.71177,-46.52545,1,0,1.0,1,,,,,,,,,,
-23.70996,-46.52473,1,0,1.0,1,,,,,,,,,,
-23.70995,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.70992,-46.52542,1,0,1.0,1,,,,,,,,,,
-23.70991,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.70987,-46.52531,2,0,2.0,1,,,,,,,,,,
-23.70983,-46.52542,1,0,1.0,1,,,,,,,,,,
-23.70982,-46.5254,0,1,1.0,1,,,,,,,,,,
-23.70983,-46.5253,0,1,1.0,1,,,,,,,,,,
-23.70979,-46.52537,1,0,1.0,1,,,,,,,,,,
-23.70979,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.70967,-46.52536,1,0,1.0,1,,,,,,,,,,
-23.70964,-46.52538,1,0,1.0,1,,,,,,,,,,
-23.70962,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.70966,-46.52533,1,0,1.0,1,,,,,,,,,,
-23.70966,-46.52534,1,0,1.0,1,,,,,,,,,,
-23.7096,-46.5254,1,0,1.0,1,,,,,,,,,,
-23.70961,-46.52561,1,0,1.0,1,,,,,,,,,,
-23.70949,-46.52563,1,0,1.0,1,,,,,,,,,,
-23.70964,-46.52543,2,0,2.0,1,,,,,,,,,,
-23.70965,-46.52554,1,0,1.0,1,,,,,,,,,,
-23.70973,-46.52543,1,0,1.0,1,,,,,,,,,,
-23.70971,-46.52546,2,0,2.0,1,,,,,,,,,,
-23.70979,-46.52543,1,0,1.0,1,,,,,,,,,,
-23.7098,-46.52543,1,0,1.0,1,,,,,,,,,,
-23.70982,-46.52543,1,0,1.0,1,,,,,,,,,,
-23.70982,-46.52545,1,0,1.0,1,,,,,,,,,,
-23.70981,-46.52546,1,0,1.0,1,,,,,,,,,,
-23.70982,-46.52547,1,0,1.0,1,,,,,,,,,,
-23.70981,-46.52548,1,0,1.0,1,,,,,,,,,,
-23.70981,-46.52557,1,0,1.0,1,,,,,,,,,,
-23.70992,-46.5256,1,0,1.0,1,,,,,,,,,,
-23.70986,-46.52551,1,0,1.0,1,,,,,,,,,,
-23.70987,-46.52553,1,0,1.0,1,,,,,,,,,,
-23.70987,-46.52543,1,0,1.0,1,,,,,,,,,,
-23.70991,-46.52547,0,1,1.0,1,,,,,,,,,,
-23.70994,-46.52545,1,0,1.0,1,,,,,,,,,,
-23.70994,-46.5255,1,0,1.0,1,,,,,,,,,,
-23.70997,-46.5255,1,0,1.0,1,,,,,,,,,,
-23.70995,-46.52552,1,0,1.0,1,,,,,,,,,,
-23.70997,-46.52544,1,0,1.0,1,,,,,,,,,,
-23.70998,-46.52547,1,0,1.0,1,,,,,,,,,,
-23.71013,-46.52585,1,0,1.0,1,,,,,,,,,,
-23.71019,-46.52576,1,0,1.0,1,,,,,,,,,,
-23.71017,-46.5257,1,0,1.0,1,,,,,,,,,,
-23.71032,-46.52557,1,0,1.0,1,,,,,,,,,,
-23.71032,-46.52556,1,0,1.0,1,,,,,,,,,,
-23.71044,-46.52554,1,0,1.0,1,,,,,,,,,,
-23.71045,-46.52554,1,0,1.0,1,,,,,,,,,,
-23.71062,-46.5257,1,0,1.0,1,,,,,,,,,,
-23.71055,-46.52545,2,0,2.0,1,,,,,,,,,,
-23.71065,-46.5256,1,0,1.0,1,,,,,,,,,,
-23.71066,-46.52555,1,0,1.0,1,,,,,,,,,,
-23.71069,-46.52563,1,0,1.0,1,,,,,,,,,,
-23.71071,-46.52551,1,0,1.0,1,,,,,,,,,,
-23.71065,-46.52548,2,0,2.0,1,,,,,,,,,,
-23.71077,-46.52546,1,0,1.0,1,,,,,,,,,,
-23.7108,-46.52552,1,0,1.0,1,,,,,,,,,,
-23.71079,-46.52554,1,0,1.0,1,,,,,,,,,,
-23.71073,-46.5258,2,0,2.0,1,,,,,,,,,,
-23.71078,-46.52577,1,0,1.0,1,,,,,,,,,,
-23.71078,-46.5251,1,0,1.0,1,,,,,,,,,,
-23.71095,-46.52503,1,0,1.0,1,,,,,,,,,,
-23.71087,-46.52482,1,0,1.0,1,,,,,,,,,,
-23.71088,-46.52483,1,0,1.0,1,,,,,,,,,,
-23.71089,-46.52477,1,0,1.0,1,,,,,,,,,,
-23.71088,-46.52478,3,0,3.0,1,,,,,,,,,,
-23.71089,-46.52478,4,0,4.0,1,,,,,,,,,,
-23.71088,-46.52479,1,0,1.0,1,,,,,,,,,,
-23.71087,-46.5248,3,0,3.0,1,,,,,,,,,,
-23.71088,-46.52481,0,1,1.0,1,,,,,,,,,,
-23.71088,-46.52476,1,0,1.0,1,,,,,,,,,,
-23.71089,-46.52476,1,0,1.0,1,,,,,,,,,,
-23.71089,-46.5247,1,0,1.0,1,,,,,,,,,,
-23.71088,-46.52473,3,0,3.0,1,,,,,,,,,,
-23.71088,-46.52474,1,0,1.0,1,,,,,,,,,,
-23.71089,-46.52474,4,0,4.0,1,,,,,,,,,,
-23.71091,-46.52472,2,0,2.0,1,,,,,,,,,,
-23.71092,-46.52472,1,0,1.0,1,,,,,,,,,,
-23.71092,-46.52474,2,0,2.0,1,,,,,,,,,,
-23.71091,-46.52477,2,0,2.0,1,,,,,,,,,,
-23.71091,-46.52479,1,0,1.0,1,,,,,,,,,,
-23.71092,-46.5248,1,0,1.0,1,,,,,,,,,,
-23.71092,-46.52475,1,0,1.0,1,,,,,,,,,,
-23.7109,-46.52475,1,0,1.0,1,,,,,,,,,,
-23.71092,-46.52476,3,0,3.0,1,,,,,,,,,,
-23.71093,-46.52478,3,0,3.0,1,,,,,,,,,,
-23.71095,-46.52476,3,0,3.0,1,,,,,,,,,,
-23.71094,-46.52471,1,0,1.0,1,,,,,,,,,,
-23.71095,-46.52472,1,0,1.0,1,,,,,,,,,,
-23.71093,-46.52472,1,0,1.0,1,,,,,,,,,,
-23.71093,-46.52473,1,0,1.0,1,,,,,,,,,,
-23.71087,-46.52459,1,0,1.0,1,,,,,,,,,,
-23.71087,-46.5246,1,0,1.0,1,,,,,,,,,,
-23.71088,-46.5246,8,0,8.0,1,,,,,,,,,,
-23.71088,-46.52466,1,0,1.0,1,,,,,,,,,,
-23.71089,-46.52467,1,0,1.0,1,,,,,,,,,,
-23.71063,-46.52454,1,0,1.0,1,,,,,,,,,,
-23.7107,-46.52516,2,0,2.0,1,,,,,,,,,,
-23.71061,-46.52528,1,0,1.0,1,,,,,,,,,,
-23.71059,-46.52529,1,0,1.0,1,,,,,,,,,,
-23.71061,-46.5253,1,0,1.0,1,,,,,,,,,,
-23.71061,-46.52533,1,0,1.0,1,,,,,,,,,,
-23.71058,-46.52529,1,0,1.0,1,,,,,,,,,,
-23.71057,-46.5253,4,0,4.0,1,,,,,,,,,,
-23.70998,-46.52541,1,0,1.0,1,,,,,,,,,,
-23.71006,-46.52484,1,0,1.0,1,,,,,,,,,,
-23.71013,-46.52466,1,0,1.0,1,,,,,,,,,,
-23.71026,-46.52481,1,0,1.0,1,,,,,,,,,,
-23.7157,-46.5948,1,0,1.0,1,,,,,,,,,,
-23.71575,-46.59473,0,1,1.0,1,,,,,,,,,,
-23.71572,-46.5947,1,0,1.0,1,,,,,,,,,,
-23.71574,-46.59469,1,0,1.0,1,,,,,,,,,,
-23.71572,-46.59466,1,0,1.0,1,,,,,,,,,,
-23.71571,-46.59469,1,0,1.0,1,,,,,,,,,,
-23.71571,-46.59464,1,0,1.0,1,,,,,,,,,,
-23.71571,-46.59467,0,1,1.0,1,,,,,,,,,,
-23.71565,-46.59464,1,0,1.0,1,,,,,,,,,,
-23.71596,-46.56863,0,1,1.0,1,,,,,,,,,,
-23.71575,-46.56807,1,0,1.0,1,,,,,,,,,,
-23.7159,-46.56807,0,1,1.0,1,,,,,,,,,,
-23.71592,-46.56811,1,0,1.0,1,,,,,,,,,,
-23.71588,-46.56823,1,0,1.0,1,,,,,,,,,,
-23.7159,-46.56822,0,1,1.0,1,,,,,,,,,,
-23.71591,-46.56818,0,1,1.0,1,,,,,,,,,,
-23.71597,-46.5682,0,1,1.0,1,,,,,,,,,,
-23.71596,-46.56815,0,1,1.0,1,,,,,,,,,,
-23.71602,-46.56821,0,1,1.0,1,,,,,,,,,,
-23.71596,-46.56822,1,0,1.0,1,,,,,,,,,,
-23.71597,-46.56825,0,1,1.0,1,,,,,,,,,,
-23.716,-46.56833,0,1,1.0,1,,,,,,,,,,
-23.71605,-46.56834,0,1,1.0,1,,,,,,,,,,
-23.71607,-46.56815,0,1,1.0,1,,,,,,,,,,
-23.71618,-46.56824,1,0,1.0,1,,,,,,,,,,
-23.71616,-46.5682,1,0,1.0,1,,,,,,,,,,
-23.71622,-46.56816,0,1,1.0,1,,,,,,,,,,
-23.71901,-46.5664,2,0,2.0,1,,,,,,,,,,
-23.71901,-46.56629,0,3,3.0,1,,,,,,,,,,
-23.71899,-46.56629,0,1,1.0,1,,,,,,,,,,
-23.71901,-46.5663,0,1,1.0,1,,,,,,,,,,
-23.71902,-46.56628,0,1,1.0,1,,,,,,,,,,
-23.71906,-46.56639,3,3,6.0,1,,,,,,,,,,
-23.71905,-46.56636,2,3,5.0,1,,,,,,,,,,
-23.71907,-46.56646,11,6,17.0,1,,,,,,,,,,
-23.71891,-46.56768,1,1,2.0,1,,,,,,,,,,
-23.71897,-46.56771,0,1,1.0,1,,,,,,,,,,
-23.73782,-46.55243,3,0,3.0,1,,,,,,,,,,
-23.73784,-46.55258,1,0,1.0,1,,,,,,,,,,
-23.73782,-46.55257,1,0,1.0,1,,,,,,,,,,
-23.73783,-46.55257,1,0,1.0,1,,,,,,,,,,
-23.73782,-46.55258,1,0,1.0,1,,,,,,,,,,
-23.73773,-46.55271,1,0,1.0,1,,,,,,,,,,
-23.73774,-46.55266,4,1,5.0,1,,,,,,,,,,
-23.73773,-46.55264,2,0,2.0,1,,,,,,,,,,
-23.73773,-46.55258,2,0,2.0,1,,,,,,,,,,
-23.73773,-46.55263,6,1,7.0,1,,,,,,,,,,
-23.73774,-46.55255,2,0,2.0,1,,,,,,,,,,
-23.73776,-46.55264,1,0,1.0,1,,,,,,,,,,
-23.7378,-46.55259,2,1,3.0,1,,,,,,,,,,
-23.73778,-46.5526,1,0,1.0,1,,,,,,,,,,
-23.7378,-46.55261,1,0,1.0,1,,,,,,,,,,
-23.73781,-46.55262,1,0,1.0,1,,,,,,,,,,
-23.73778,-46.55263,5,0,5.0,1,,,,,,,,,,
-23.73775,-46.55248,1,0,1.0,1,,,,,,,,,,
-23.7377,-46.55233,1,0,1.0,1,,,,,,,,,,
-23.73771,-46.55243,1,0,1.0,1,,,,,,,,,,
-23.73763,-46.55254,1,0,1.0,1,,,,,,,,,,
-23.73763,-46.55255,1,0,1.0,1,,,,,,,,,,
-23.73764,-46.55265,1,0,1.0,1,,,,,,,,,,
-23.73767,-46.55266,1,0,1.0,1,,,,,,,,,,
-23.73767,-46.55267,1,0,1.0,1,,,,,,,,,,
-23.73768,-46.55268,1,0,1.0,1,,,,,,,,,,
-23.73762,-46.55265,2,0,2.0,1,,,,,,,,,,
-23.73759,-46.55268,1,0,1.0,1,,,,,,,,,,
-23.72233,-46.56045,0,1,1.0,1,,,,,,,,,,
-23.72227,-46.55985,1,0,1.0,1,,,,,,,,,,
-23.72226,-46.55977,1,0,1.0,1,,,,,,,,,,
-23.72225,-46.55982,1,0,1.0,1,,,,,,,,,,
-23.72222,-46.55928,0,1,1.0,1,,,,,,,,,,
